root        1034  0.0  0.1 2541112 49368 ?       Ssl  11:11   0:00 /usr/bin/containerd
root        1069  0.0  0.0 239624  9668 ?        Ssl  11:11   0:00 /usr/sbin/gdm3
root        1100  0.0  0.0  12196  7148 ?        Ss   11:11   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1152  0.0  0.0 166952 10092 ?        Sl   11:11   0:00 gdm-session-worker [pam/gdm-autologin]
root        1182  0.0  0.0 297948 19792 ?        Ssl  11:11   0:00 /usr/bin/anydesk --local-service
root        1187  0.0  0.0   6556  4488 ?        Ss   11:11   0:00 /usr/sbin/apache2 -k start
www-data    1188  0.0  0.0 1997900 4484 ?        Sl   11:11   0:00 /usr/sbin/apache2 -k start
www-data    1189  0.0  0.0 1997900 4484 ?        Sl   11:11   0:00 /usr/sbin/apache2 -k start
dataman+    1250  0.0  0.0 169416  3328 ?        S    11:11   0:00 (sd-pam)
root        1251  0.0  0.0      0     0 ?        I    11:11   0:00 [kworker/5:2-cgroup_destroy]
dataman+    1282  0.0  0.0 511652 24916 ?        SNsl 11:11   0:00 /usr/libexec/tracker-miner-fs
dataman+    1285  0.0  0.0 240164  7056 ?        Sl   11:11   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
dataman+    1289  0.0  0.0 164028  6440 tty2     Ssl+ 11:11   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
dataman+    1300  0.0  0.0   8192  5456 ?        Ss   11:11   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit       1313  0.0  0.0 152936  3004 ?        SNsl 11:11   0:00 /usr/libexec/rtkit-daemon
dataman+    1356  0.0  0.0 239724  7744 ?        Ssl  11:11   0:00 /usr/libexec/gvfsd
dataman+    1372  0.0  0.0 378356  6368 ?        Sl   11:11   0:00 /usr/libexec/gvfsd-fuse /run/user/1002/gvfs -f -o big_writes
whoopsie    1381  0.0  0.0 253212 15656 ?        Ssl  11:11   0:00 /usr/bin/whoopsie -f
dataman+    1393  0.0  0.0 313944  8952 ?        Ssl  11:11   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
lp          1397  0.0  0.0  15312  6664 ?        S    11:11   0:00 /usr/lib/cups/notifier/dbus dbus://
kernoops    1413  0.0  0.0  11272   444 ?        Ss   11:11   0:00 /usr/sbin/kerneloops --test
kernoops    1415  0.0  0.0  11272   448 ?        Ss   11:11   0:00 /usr/sbin/kerneloops
dataman+    1416  0.0  0.0 316736  8968 ?        Ssl  11:11   0:00 /usr/libexec/gvfs-afc-volume-monitor
root        1421  0.0  0.0   2616  1824 ?        S    11:11   0:00 /bin/sh /usr/local/mysql/bin/mysqld_safe --datadir=/usr/local/mysql/data --pid-file=/usr/local/mysql/data/hep-svr.pid
dataman+    1574  0.0  0.0 238120  7300 ?        Ssl  11:11   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
dataman+    1802  0.0  0.0 235888  6048 ?        Ssl  11:11   0:00 /usr/libexec/gvfs-goa-volume-monitor
dataman+    1827  0.0  0.1 553308 34740 ?        Sl   11:11   0:00 /usr/libexec/goa-daemon
dataman+    1873  0.0  0.0 314768  8932 ?        Sl   11:11   0:00 /usr/libexec/goa-identity-service
dataman+    1878  0.0  0.0 235712  5928 ?        Ssl  11:11   0:00 /usr/libexec/gvfs-mtp-volume-monitor
root        1885  0.0  0.0 252248  9888 ?        Ssl  11:11   0:00 /usr/lib/upower/upowerd
dataman+    2028  0.0  0.0 188224 13680 tty2     Sl+  11:11   0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
